2, 3, 0, -1, -2, 1, -1, 1, 
6, -4, -3, -6, 3, -3, -1, 1, 
7, 2, 2, 2, -2, -1, 0, 0, 
9, -2, -1, 6, 5, 1, 0, -2, 
-10, -11, 3, 6, -7, -3, -2, -2, 
6, -15, -8, -6, 3, 0, -1, -4, 
-17, -28, -35, -10, 20, 1, -5, -8, 
27, 21, -13, -8, -9, -1, 5, 14, 
-34, -17, 24, 43, 15, 3, -25, -22, 
-14, -26, -22, 84, 56, 7, 19, 16, 
0, -22, -8, -90, -45, -17, -23, -43, 
7, -14, -42, 117, 21, 15, 15, 20, 
7, -37, 99, 46, 38, 3, 8, 11, 
-13, -19, -128, 109, -6, -13, -15, -23, 
-9, 1, -128, 81, 82, 10, -15, -29, 
4, -56, 77, -86, -116, -28, -2, 14, 
3, 47, -14, -3, -104, -21, -13, -7, 
-23, -13, 23, -25, -80, -22, -14, -5, 
-4, -1, -128, 3, 1, 1, -2, -1, 
8, 1, -2, 3, 5, 1, 28, 11, 
-5, 1, -47, 3, 4, 0, -10, 3, 
-25, 7, -2, 3, 5, 4, 12, 15, 
-16, 12, 0, -10, 2, -2, -22, 45, 
-13, 52, 6, -1, 12, -13, 3, -65, 
-25, -109, -63, -1, -3, -22, -77, -111, 
-128, -39, 1, 13, -25, -52, -30, -128, 
78, -115, 43, 33, -9, -67, -86, -128, 
19, -8, -11, -18, 23, 84, 31, 104, 
112, 54, -24, 58, -1, 15, -35, 19, 
-17, 17, 19, -15, -1, -3, -11, 35, 
-8, 7, 111, 1, -21, -6, 21, -1, 
-8, -19, -116, 9, 2, -2, -7, 3, 
-11, -12, -25, -1, -20, 1, 14, -7, 
-29, -64, -87, -41, -60, -22, -13, -19, 
-20, -17, -18, 127, 21, -17, -12, 8, 
-9, 1, 40, -114, -16, -11, 3, -6, 
-1, 3, 12, -48, 36, 24, 13, 27, 
20, -11, 24, -32, -40, -18, -7, -3, 
52, 12, 121, 43, 112, 56, 24, 37, 
-18, 82, 22, 5, 23, 8, -2, -2, 
-9, -97, -78, -14, -11, 1, -7, -11, 
-5, 16, 1, 20, 5, 11, 18, 14, 
0, -2, 10, 4, -3, 1, 2, 9, 
-10, 4, 5, -13, -2, -1, -6, -7, 
9, 3, 4, 1, -1, -1, -4, 3, 
2, 54, 7, 4, -2, 1, -21, -44, 
61, -6, 19, -2, -9, 9, 36, 47, 
-84, 87, 58, 4, 20, 12, 38, 72, 
53, -128, 18, 35, -19, -20, 35, 45, 
-105, -64, -16, -25, 0, 6, 18, -99, 
-33, -10, 27, 25, 8, -2, -10, 103, 
-19, -98, -69, -13, -11, -41, -20, 54, 
-116, -91, 78, 8, -26, -1, -19, -43, 
-22, 6, -81, -70, -7, 23, 60, 76, 
-12, 26, 29, -32, 17, 15, 47, 15, 
38, -9, 23, 42, 3, -8, -8, -1, 
-3, -7, -7, 87, 48, 20, 3, 12, 
-3, -10, 63, 23, 13, -1, -3, 1, 
3, -5, 51, -9, -12, -2, 13, -9, 
-10, -25, -107, -10, -13, 1, 11, 17, 
1, -40, -27, -33, -7, -4, -13, -9, 
11, 32, 89, 24, -1, -1, -12, -2, 
-19, -23, -44, 6, -3, -4, -15, -1, 
1, 1, 17, 11, -5, -7, 3, -2, 
-26, -29, -33, -9, -2, 6, -16, -13, 
1, -6, 17, -6, -3, -2, 1, -6, 
4, 5, 16, 1, -1, -5, -15, -1, 
2, -24, -48, -17, 3, -2, -4, -2, 
9, 63, -67, -2, 1, 6, 20, 12, 
-5, -27, -62, -12, -8, -3, -8, -1, 
-2, -8, 9, -8, -3, -5, -4, -6, 
2, 55, 24, 10, -3, -2, 6, -2, 
4, -7, -6, -2, -5, -2, 6, -6, 
-7, -33, -18, -13, -9, -7, -9, 7, 
13, 38, -28, 9, 7, 2, -2, -6, 
-1, -17, -37, -8, 13, 3, 3, 6, 
-21, 54, -50, -46, -4, -1, -1, -5, 
2, 2, 47, 8, 1, -2, -2, 3, 
3, 84, 49, 21, -4, -1, -8, 8, 
7, 20, 13, 14, -1, -3, -3, -2, 
-6, 3, 37, 19, -1, -4, -8, -4, 
-15, 2, 1, 6, -4, -1, 37, 11, 
4, 2, 32, 4, -5, -2, -5, 12, 
-10, -46, -78, -10, -2, 5, 5, -13, 
-5, -1, -43, -23, -6, 1, 5, 1, 
-7, 1, -9, -8, 4, -1, -15, -4, 
1, -2, -19, -37, -2, -4, -3, -9, 
59, 48, -6, 6, -2, -7, -34, 20, 
-11, -26, 18, 2, 0, 2, 3, -11, 
-7, -1, 20, -7, 1, 0, 1, -5, 
-5, -18, -31, -32, -1, 5, 8, 0, 
-2, -11, 12, 23, -1, -7, -2, 0, 
-7, -1, 4, 10, -3, 3, 7, -4, 
-7, -12, -7, -16, -12, -12, -17, 5, 
