0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 6
0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 6
0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 6
0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 6
-1, -4, -6, 1, -2, -6, -5, -48, 7, 8, 6
6, 17, 3, 1, -1, 8, 0, 9, 7, 8, 6
0, 0, 5, 1, 1, 7, 7, 17, 7, 8, 6
-1, -5, 10, -2, -2, 11, -5, 6, 7, 8, 6
0, 1, 16, -2, -2, -4, -4, -2, 7, 8, 6
1, 5, 12, 0, 0, -31, 4, 5, 7, 8, 6
0, 5, 41, -7, -3, 5, 4, 22, 7, 8, 6
-3, 3, -3, -1, 6, 5, 16, -22, 7, 8, 6
2, -11, -17, 0, 0, -14, 2, 3, 7, 9, 6
-4, -14, -8, 0, -2, -9, 4, 17, 7, 9, 6
-9, 16, 1, 5, 1, 2, 7, 4, 7, 9, 6
-2, -5, -21, -4, -1, -2, -2, 2, 7, 9, 6
-13, -29, -6, -1, 0, 18, -2, -13, 7, 9, 6
-2, 18, 2, 1, 0, -7, 4, -4, 7, 9, 6
-1, 6, -4, 1, 1, 12, -2, 6, 7, 9, 6
-2, -17, -12, -3, -2, -4, -2, -1, 7, 8, 6
0, -2, -65, -17, -4, -7, -3, -4, 7, 8, 6
1, -2, 0, -9, 1, -3, -3, -1, 7, 8, 6
6, 3, -1, -2, 2, 0, 0, 0, 7, 8, 6
-2, 3, -3, -7, 0, -1, -1, 0, 7, 8, 6
-7, 21, 21, 7, -5, -1, -1, -1, 7, 8, 5
66, -4, 15, 45, -3, 2, 1, 12, 7, 8, 5
-30, 42, 16, 5, 25, 2, 3, -22, 7, 9, 5
-9, 18, -6, -36, -23, -15, -12, 5, 7, 8, 5
76, 69, 0, -83, -24, -2, 33, 18, 7, 8, 5
80, 31, -27, -117, -28, 0, 26, 12, 7, 8, 5
-25, -109, 20, -128, -57, -20, -13, -19, 7, 8, 5
-68, 87, -65, -3, -13, -7, -4, -17, 8, 9, 4
-12, 90, -57, 117, 67, 12, 3, 2, 7, 9, 4
6, -12, -91, 10, 24, 12, 12, 14, 7, 9, 4
-12, 16, -116, -126, 6, 1, 0, -2, 7, 9, 4
-5, 2, 24, -128, -38, -14, -10, -6, 7, 9, 4
0, -2, -101, -128, -28, -3, -8, -8, 7, 9, 4
-39, -1, 89, -32, 24, 1, 0, -10, 7, 9, 4
12, 0, 76, -81, -62, -21, -18, -8, 7, 9, 4
24, 0, -23, 127, 102, 31, 21, 20, 7, 9, 4
9, -2, -5, -91, -41, -13, -4, -3, 7, 9, 4
17, 1, -86, -12, 39, 13, 8, 0, 7, 9, 4
-20, -15, 10, -78, -26, -7, -9, -9, 7, 9, 4
70, 24, 68, 122, 24, 11, -2, 17, 7, 9, 4
70, -32, 9, -1, -4, 21, 91, 1, 7, 9, 4
-4, 24, 21, -29, -9, -21, 85, 24, 7, 9, 4
126, 45, 44, 43, 0, 33, 93, 127, 7, 9, 4
-57, 1, -33, -6, -9, 35, 37, 15, 8, 10, 5
36, -9, -39, -3, 9, -50, -116, -8, 8, 10, 5
85, 39, 16, -35, -9, -4, -25, 47, 8, 10, 5
47, 56, -9, 30, 35, -65, -38, 0, 8, 10, 5
8, -83, 45, -10, -10, 32, 88, 43, 8, 10, 5
-63, 32, 29, 31, -7, 3, 36, 5, 8, 10, 5
30, 15, 8, 2, -3, 20, 60, 0, 8, 10, 5
11, 8, 27, -18, -3, -7, 36, -11, 8, 10, 5
-1, 2, 65, 1, -1, -8, 3, 0, 8, 10, 5
-5, 3, 13, 0, -3, -7, 6, -4, 8, 10, 5
-1, 78, 30, 0, 3, -3, -1, -2, 8, 10, 5
-3, -13, 38, -3, -4, -4, -1, -5, 8, 9, 6
-21, -1, -13, -3, 1, 4, 2, 1, 7, 8, 5
1, 1, 19, -14, -7, -2, -1, 1, 7, 8, 5
-6, 26, -6, 5, 0, -1, 0, -1, 7, 8, 5
3, -1, -34, -5, 2, 4, 2, 0, 8, 9, 5
-1, -29, -10, -5, -4, -1, 1, 3, 8, 9, 5
3, 5, 15, -8, -6, -3, -2, -6, 8, 10, 5
1, 2, 2, 10, 5, 2, -1, -10, 8, 10, 5
-4, -9, -54, -3, -1, 3, -1, 4, 8, 12, 5
8, -3, 28, 6, 2, -3, 1, 6, 8, 12, 5
-5, -7, 5, -2, -1, -3, 0, 2, 8, 12, 5
-6, -4, -71, -1, 0, 0, 0, 3, 8, 13, 5
1, 6, -12, -4, -2, 1, 0, 2, 8, 13, 5
9, 26, 32, 6, 3, 2, 3, 2, 8, 13, 5
-3, -1, -1, -1, -1, -1, 0, -1, 8, 13, 5
0, 3, -5, -4, -4, -1, -3, 0, 8, 12, 5
3, -11, -10, -1, -2, -4, -1, 10, 8, 12, 5
0, 5, 16, 0, 0, 0, -1, 5, 8, 11, 5
-2, -3, 35, -2, -2, -4, -3, 2, 8, 11, 5
-1, 1, 6, 2, -1, -3, 0, -1, 8, 10, 5
-2, -6, 4, 3, -2, 1, -3, -1, 8, 9, 5
-2, 1, 5, -6, -10, 1, 2, 1, 8, 9, 5
-2, -7, -7, -3, 11, 9, 0, -1, 8, 8, 5
1, -10, -19, -10, -4, -9, 0, 4, 8, 8, 5
-4, -3, 48, -4, 0, -31, 0, -3, 8, 8, 5
5, 17, 2, 8, 0, 8, 4, 0, 8, 8, 5
1, -6, 7, 6, 1, 32, 2, -8, 8, 8, 5
3, 4, -55, 0, 2, 2, 2, 1, 8, 8, 6
-3, -2, 12, 1, -3, -10, -4, -3, 8, 8, 6
-3, 2, 42, -7, -3, -2, -1, -1, 8, 8, 6
-1, -8, -45, -2, 5, 2, 0, -1, 8, 8, 6
-2, 3, -93, -6, -4, -5, -4, -1, 8, 8, 6
-3, 2, 61, -1, -6, -6, -2, -3, 8, 8, 6
0, 0, 4, -5, -3, 0, 0, 1, 8, 8, 6
-1, -8, -18, -3, -1, 47, -2, 4, 8, 8, 6
-2, 2, -1, 0, 2, 8, 3, -6, 8, 8, 6
-1, 12, 43, 2, 1, 15, 2, -1, 8, 8, 6
-9, 12, 4, 6, -2, -1, -1, 6, 8, 8, 6
-11, -1, 7, -3, -3, -32, -4, -11, 8, 8, 6
5, -4, 1, 1, 0, -1, 0, 14, 8, 8, 6
8, 35, 48, -1, 0, 0, 3, -8, 8, 8, 6
3, -2, -54, -1, 0, 0, 6, 8, 8, 8, 6
-5, -25, 21, -4, 1, 13, -1, 17, 8, 8, 6
-4, -14, -5, -3, -1, 10, 6, -16, 8, 8, 6
4, -8, -23, -8, 0, -8, -5, 18, 8, 8, 6
4, -12, -7, -2, -3, -1, -9, -6, 8, 8, 6
-3, -6, 36, 4, 1, -12, -4, -4, 8, 8, 6
8, 18, -40, -5, 0, -2, -4, -7, 8, 8, 6
5, -23, 14, -6, -6, 9, -3, 0, 8, 8, 6
6, -12, 41, 3, 1, -2, 2, 8, 7, 8, 6
12, 25, -81, 2, 1, 0, 8, 24, 7, 8, 6
-3, 15, -6, 1, 1, -4, -2, -25, 7, 8, 6
0, -13, -20, -10, -5, 7, -6, 2, 7, 8, 6
4, -7, -2, -2, -2, 1, 1, 1, 7, 8, 6
-14, -6, -12, -3, -1, 5, -11, -7, 7, 8, 6
-3, -2, -4, 5, -3, -3, -9, -12, 7, 8, 6
-3, 16, 38, 2, -3, -12, 30, -6, 7, 8, 6
-5, 16, -38, -6, -1, -6, 3, 1, 7, 8, 6
-12, 0, 4, 3, -1, -11, -6, -66, 7, 9, 6
0, 4, 44, 4, -2, 13, 11, 21, 7, 9, 6
-7, -4, -36, -3, 2, 8, -6, -60, 7, 9, 6
9, 14, -16, -3, -2, 4, 4, 11, 7, 9, 6
-5, -9, 11, -1, 0, 7, -1, -28, 7, 9, 6
0, -4, 35, -2, -3, 0, 0, -4, 7, 9, 6
2, -7, 5, -1, 0, -4, -1, 11, 7, 9, 6
-4, 2, -24, -3, -1, 0, 1, 6, 7, 9, 6
16, 6, -20, 5, 1, -3, 1, 25, 7, 9, 6
5, -5, -26, -1, -1, -2, -5, -14, 7, 9, 6
