3,3,3,3,3,3,3,3,0,0,0,-9.26e+61,-9.26e+61,-9.26e+61,w
3,3,3,3,3,3,3,3,0,0,0,-9.26e+61,-9.26e+61,-9.26e+61,w
3,3,3,3,3,3,3,3,0,0,0,-9.26e+61,-9.26e+61,-9.26e+61,w
3,3,3,3,3,3,3,3,0,0,0,-9.26e+61,-9.26e+61,-9.26e+61,w
2,1,1,1,1,3,21,5,0,0,0,-9.26e+61,-9.26e+61,-9.26e+61,w
3,1,1,1,1,2,18,5,0,0,0,-9.26e+61,-9.26e+61,-9.26e+61,w
3,1,2,2,1,2,19,5,0,0,0,-9.26e+61,-9.26e+61,-9.26e+61,w
3,1,1,2,1,3,17,6,8,7,3,9.36,-9.34,40,w
4,1,2,2,1,2,16,6,8,7,3,9.28,-9.34,39.6,w
3,1,2,4,1,2,18,6,8,7,3,9.32,-8.96,40.3,w
3,1,4,4,1,2,16,6,8,7,3,9.38,-8.77,41.3,w
3,1,4,5,1,2,12,6,8,7,3,9.45,-9.06,42.8,w
3,4,7,7,2,2,8,6,8,7,3,9.24,-12.7,41.9,w
3,4,10,7,3,2,8,5,8,7,3,12,-15.2,38.6,w
3,7,11,7,3,3,5,5,8,7,3,6.15,-14.9,39.3,w
4,7,12,7,3,2,5,5,8,8,4,4.51,-14.7,40.7,w
4,7,12,8,3,2,4,6,8,8,4,0.547,-8.09,40.8,w
4,9,14,7,3,2,3,7,8,8,4,4.71,-10.7,40.2,w
6,10,25,10,4,2,6,8,8,8,4,8.93,-10.7,40.4,w
5,11,25,9,4,3,7,10,8,8,4,10.6,-10.6,39.2,w
5,10,23,8,4,3,11,11,8,7,5,12,-11.7,38.5,w
7,10,25,9,4,3,16,13,8,7,5,11.3,-10.6,38.4,w
7,7,26,9,6,3,17,15,8,7,5,11.2,-12.8,39,w
5,7,27,9,7,5,24,19,8,7,6,12.1,-10.8,38.5,w
6,9,33,9,8,6,29,25,8,7,6,13.1,-9.61,37.7,w
6,8,32,10,14,5,30,25,7,7,6,14.7,-14.3,37.8,w
6,8,21,7,18,7,32,24,7,7,7,13.8,-15.3,38.5,w
7,7,24,8,23,11,41,29,7,7,7,12.7,-15.1,38.4,w
7,7,24,7,28,15,39,28,7,7,7,10.4,-15.4,39.1,w
5,7,20,11,39,26,40,34,7,7,7,10.8,-14.6,40.2,w
5,10,17,15,44,30,46,32,7,8,7,8.79,-16.8,39.2,w
6,9,18,27,59,42,44,32,7,8,7,7.21,-13.1,39.6,w
7,10,13,26,60,48,41,26,7,9,7,-0.137,-13,36.8,w
7,12,15,25,62,55,39,30,8,9,7,-3.42,-11.5,36.6,w
8,13,20,31,60,54,34,29,8,9,6,-5.37,-11.5,36.7,w
7,13,20,32,55,54,26,23,8,9,6,-4.69,-12.2,37.2,w
7,13,20,35,52,51,28,28,8,9,6,-4.69,-12.2,37.2,w
8,13,20,32,42,41,27,20,8,9,6,-4.69,-12.2,37.2,w
7,10,22,28,35,37,25,20,8,9,6,-4.69,-12.2,37.2,w
6,10,21,18,23,26,23,18,8,9,6,-4.69,-12.2,37.2,w
4,7,18,17,22,19,21,17,8,9,6,-4.69,-12.2,37.2,w
4,6,16,17,15,12,22,14,8,9,6,-4.69,-12.2,37.2,w
4,4,15,11,14,12,26,17,8,9,6,-6.78,-7.07,39.7,w
4,4,14,9,16,8,26,15,8,9,6,-5.29,-12.5,39.7,w
5,3,15,6,14,7,26,10,8,9,6,0.977,-12.8,41.1,w
5,3,16,4,14,7,26,11,8,8,6,5.12,-11.9,41.3,w
5,4,18,4,14,8,22,10,8,8,6,4.84,-10.9,40.6,w
6,4,22,5,10,6,20,7,8,8,6,7.23,-12.4,40.6,w
8,5,26,6,9,8,21,8,8,8,6,6.74,-11.4,40.8,w
8,6,26,7,10,8,20,10,8,7,6,7.73,-10.4,40.6,w
7,6,22,6,8,7,16,9,8,7,6,10.7,-10.9,40.1,w
7,5,22,7,6,7,15,9,8,7,6,12.1,-11,41.1,w
6,5,20,8,6,8,12,10,8,7,6,12.6,-10.8,40.4,w
6,4,22,9,6,7,15,10,8,7,6,13.1,-13.3,40.4,w
5,3,20,12,7,6,14,15,8,7,6,13.7,-14.4,41.1,w
6,3,16,12,17,10,15,16,7,7,6,12.8,-14.8,40.5,w
4,3,13,11,17,9,21,18,7,7,7,10.3,-14.6,41.5,w
3,2,15,10,18,11,27,16,7,7,7,8.87,-13.8,40.7,w
3,2,17,17,23,11,35,23,7,7,7,6.31,-16.2,40.7,w
3,3,21,26,25,19,35,25,7,8,7,7.99,-12.5,38.8,w
4,5,24,33,28,24,33,26,7,8,7,5.51,-15.1,40.8,w
4,6,24,35,42,33,30,25,7,8,7,3.3,-11.6,36.3,w
4,10,33,36,50,40,33,22,8,9,7,-1.82,-11.9,37,w
3,11,37,40,51,45,42,27,8,9,7,-3.38,-13,37.1,w
3,11,36,41,51,47,36,24,8,9,6,-4.28,-11.9,36.1,w
3,11,34,45,55,47,31,24,8,9,6,-3.69,-9.43,35,w
5,11,31,39,52,47,23,16,8,9,6,-3.09,-12.5,38.4,w
5,10,27,30,54,39,23,13,8,9,6,-2.99,-10.2,38.5,w
5,9,24,23,52,34,24,15,8,9,6,-3.34,-11.5,41.3,w
4,8,22,21,39,25,23,16,8,9,6,-2.87,-11.9,42,w
4,5,13,17,28,18,22,16,8,9,5,-2.38,-11.9,41.3,w
4,4,11,11,19,9,11,10,8,9,5,1.37,-12.4,40.5,w
4,5,11,11,19,6,11,10,8,8,5,0.215,-7.73,40.7,w
3,6,11,8,14,5,9,10,8,8,5,2.85,-15,41,w
1,7,11,7,12,5,9,10,8,8,5,3.24,-10.4,39,w
