-5, 0, 13, -4, -2, -1, 0, -2, 
2, 2, -1, -2, -1, 0, -1, 0, 
2, -2, -27, -3, 3, 12, 37, 4, 
2, -4, 25, 3, -3, 6, 12, 1, 
-1, -3, 29, -3, -7, -4, -7, -3, 
-3, 2, 1, 1, -3, -2, -4, -3, 
-1, 0, 15, -2, 0, -1, -1, -2, 
0, -4, 12, 7, -3, -1, -4, -2, 
-2, 3, -3, 10, 6, 1, -1, 0, 
-1, -2, 1, -8, -3, 0, -5, -1, 
-13, -2, 11, 2, 4, -1, -36, -10, 
6, -3, 18, 10, -1, -1, 12, 2, 
3, -7, -12, -5, -3, -6, -3, -7, 
-7, 0, 28, 7, 4, 1, 6, -5, 
6, 0, 25, 7, -2, 2, 17, -1, 
-6, 0, 17, -1, 1, 4, 8, -3, 
3, -1, -19, -7, -5, -3, -2, -1, 
-6, -7, -17, -1, 5, 0, -5, -2, 
-2, -2, 0, 3, -3, -2, -1, -2, 
1, 2, 7, 11, -1, 2, 1, 1, 
12, -6, -5, 7, -1, -3, 8, 0, 
-1, 1, 63, -48, -2, 1, 12, 3, 
0, -1, 2, 23, -1, -5, 15, -11, 
2, -3, 22, 14, -2, -4, 4, 0, 
4, 0, -11, 4, -1, -3, -6, 2, 
-1, 0, 14, -3, 1, 2, 2, 1, 
-8, -4, -4, -4, -2, -1, -1, 0, 
0, 2, -1, -3, -3, -1, -3, 1, 
3, -2, -2, 4, 1, -2, -2, 0, 
-3, -6, 8, -12, -23, -5, -4, -2, 
-1, 18, 48, -14, -61, -15, -7, -3, 
-66, -48, -48, -70, -22, -10, -12, -21, 
8, 31, 40, 32, 40, 10, 13, 25, 
17, 14, -22, 19, 32, 5, -15, -32, 
-2, -9, 4, 27, -57, -6, 0, 2, 
-9, 11, 1, -59, 2, 11, 10, 8, 
30, -23, 44, -128, -36, -9, -8, -3, 
-7, 5, 20, 27, 8, 1, -1, 0, 
1, 8, -3, 17, 17, 2, -1, 0, 
-2, 5, 0, 17, -1, 2, 1, 0, 
-1, -2, 3, 9, 1, 0, -2, -1, 
3, 13, 5, -2, -5, 2, 1, -1, 
0, -6, 10, 10, 10, 2, 2, 0, 
-1, 13, -1, -15, 4, -2, -2, 0, 
0, 14, 8, 4, -8, -4, -2, 0, 
2, 13, -4, -6, -2, 2, 1, 1, 
0, -3, 3, 9, -5, -1, -1, -3, 
-10, -59, 5, -14, -9, -6, -6, -5, 
-1, 11, 1, -1, -1, 0, 1, 0, 
-19, -26, -4, 11, 2, 4, 6, 0, 
-1, 11, 0, 4, 2, 1, 1, -1, 
-11, -26, -1, -8, 0, 1, -2, -2, 
-9, -33, 0, 5, -1, -1, 0, -2, 
7, 0, -5, -2, -7, -3, -3, -1, 
11, 41, 7, 1, -9, -2, -2, 0, 
2, -16, -2, 14, 2, -2, -4, 0, 
17, 88, 10, 7, 1, 0, 0, 4, 
-6, -29, -9, -6, -7, -7, -6, -6, 
-3, -3, 3, 12, -5, -4, -2, 0, 
-2, 7, -2, 15, 42, 12, 3, 0, 
-1, 0, -2, 15, -15, -1, -2, -1, 
-7, 3, 6, 15, 4, 1, -1, -1, 
5, 5, 2, -3, -8, 2, 3, 2, 
-7, -18, -7, -7, 13, 4, 2, -1, 
0, -1, 4, 8, 1, -3, -2, -2, 
-4, -11, 2, 21, 9, 2, 1, -1, 
-2, 1, -3, 0, 7, 5, 2, 0, 
-4, 3, -6, -15, -5, 0, 2, 0, 
0, -10, -10, -25, -6, -6, -3, -2, 
-5, -18, 0, -2, -9, -5, -4, -2, 
-8, 16, 13, 1, 5, 1, 1, 1, 
-3, -40, -9, -9, 8, 2, -4, -2, 
-6, 51, 14, 7, -12, -3, 2, 1, 
-1, -10, -3, -8, 3, 0, -2, -2, 
-13, -3, -13, -2, 5, 0, 0, -1, 
3, 33, -3, -5, -3, 1, 1, 1, 
-2, -8, -4, -7, -6, -3, 0, -2, 
6, 0, -11, -1, -7, -5, -2, -1, 
3, 41, 6, 8, -5, -7, -2, -1, 
-1, -4, -3, -16, -9, -2, 0, 0, 
0, -6, -8, -23, 2, 1, -1, -2, 
1, 1, 1, 6, -2, 0, 4, 0, 
2, 3, 11, -2, -1, 0, 1, 1, 
1, 16, -10, 16, 7, 4, 0, 1, 
-2, -2, 0, -24, -3, 0, 0, -4, 
-4, -2, 12, 2, -2, -3, 5, -2, 
1, 0, 4, 3, -1, -3, -4, -1, 
-2, -4, -2, -10, -6, -2, -6, -2, 
2, 21, -5, 12, 6, 2, 1, 0, 
-2, -12, -11, -8, 0, 3, 1, -1, 
-1, -10, 27, 14, -3, -4, -5, -2, 
1, 3, 16, 2, 0, -3, -3, 0, 
-3, -4, -18, -3, -5, -1, -1, 0, 
-8, -2, -1, -3, 1, 1, 0, 0, 
-4, -10, 1, -3, -1, 0, -1, -3, 
-2, -35, -12, -8, -3, -1, -1, -3, 
-3, -27, 1, 8, -3, -3, 0, -2, 
-3, 2, 7, 3, -2, -2, -2, -2, 
-1, -5, 1, -9, -1, -1, -3, 0, 
1, -4, 1, 3, 3, 1, 0, 0, 
-1, 9, 5, 5, -2, -1, -2, 0, 
-3, 7, -16, -2, -4, -2, -1, -1, 
1, 10, 15, -4, -6, 0, -1, 0, 
-1, -4, 8, 10, -2, -2, -4, -2, 
-5, -7, 14, -22, -5, -5, -5, -2, 
0, 0, 4, 25, -13, -9, -3, 0, 
