3,3,3,3,3,3,3,3,7,8,17,4.45,-18.6,39.2,h
3,3,3,3,3,3,3,3,7,8,17,4.63,-18.3,38.6,h
3,3,3,3,3,3,3,3,7,8,17,3.36,-15.9,39.2,h
3,3,3,3,3,3,3,3,7,8,17,3.75,-15.6,40.4,h
6,5,6,1,0,3,15,6,7,8,17,5.08,-13.7,40.9,h
5,5,15,1,1,3,12,7,7,8,17,4.73,-16.1,41.6,h
6,4,13,1,1,3,11,6,7,8,17,6.21,-16.1,38.5,h
5,9,20,4,1,2,10,6,7,8,17,6.13,-13.6,41.1,h
5,8,20,6,3,3,4,6,7,8,17,6.91,-15.1,40.8,h
5,9,22,6,4,4,4,5,8,8,17,7.15,-13.9,45.4,h
6,9,24,6,4,4,3,6,8,8,17,9.43,-16.2,46.1,h
5,9,25,8,5,4,4,5,8,8,17,10.9,-19.2,45.4,h
5,9,22,8,4,3,3,5,8,8,17,6.6,-16.9,47.9,h
5,9,22,11,5,3,3,5,8,8,0,2.36,-12.7,46.3,h
4,8,23,12,5,3,3,5,8,8,0,1.48,-12.8,45.1,h
5,4,16,9,6,5,4,6,8,9,0,-2.64,-11.7,43,h
5,3,16,7,5,3,3,7,8,10,0,-6.48,-5.2,40.1,h
4,3,22,7,4,3,2,6,8,10,0,-8.54,-5.84,39.9,h
4,4,22,8,4,2,2,5,8,10,0,-10.5,-5.12,37.8,h
4,5,21,8,4,2,2,5,9,11,1,-16.5,0.156,35.2,h
4,6,21,8,4,3,2,6,9,12,1,-16.7,2.32,31.6,h
6,7,20,6,5,3,2,7,9,12,1,-17.9,7.32,27.1,h
6,9,18,9,5,3,3,7,10,13,2,-19.9,9.82,24.6,h
6,9,18,11,4,2,3,5,10,13,2,-22.9,14.7,22.1,h
5,10,23,11,5,3,3,5,10,13,2,-27.3,16.6,22,h
5,10,18,12,4,3,3,5,10,13,3,-32,21.6,19.1,h
4,8,21,12,4,3,3,7,10,13,3,-26.8,13.6,22.6,h
5,7,28,10,5,3,4,8,10,13,3,-29,16.8,25.6,h
4,6,30,11,6,4,4,6,10,13,3,-26.3,15.3,25.1,h
2,4,26,11,5,4,4,6,10,13,3,-27.7,19.2,25.5,h
3,10,26,7,6,4,3,5,10,13,3,-28.3,16.7,25.1,h
2,12,30,7,7,4,3,6,10,13,3,-27.9,16,24.4,h
2,13,27,7,6,3,3,6,10,13,3,-27.6,17.8,23.2,h
3,13,28,6,6,3,2,6,10,13,3,-30.7,17.2,24.7,h
3,13,29,7,6,3,2,4,10,13,3,-29.3,18,23.9,h
3,18,26,6,6,3,2,3,10,13,3,-29.5,16.9,24.3,h
