3,3,3,3,3,3,3,3,8,8,13,1.93,-13.1,37.6,b
3,3,3,3,3,3,3,3,8,8,13,2.75,-13.4,37.9,b
3,3,3,3,3,3,3,3,8,8,13,3.03,-12.7,37.2,b
3,3,3,3,3,3,3,3,7,8,13,3.75,-13.2,36.6,b
2,12,19,10,5,3,4,2,7,8,13,4.12,-13.9,36.5,b
2,19,19,9,4,3,4,2,7,8,13,4.59,-14.2,36.4,b
2,19,17,8,4,2,3,1,7,8,13,4.94,-12.2,36.5,b
2,18,16,8,3,2,3,1,7,8,13,4.98,-14.9,36.1,b
3,22,15,7,4,2,2,4,7,8,13,4.65,-18.6,35.4,b
4,25,10,6,3,2,1,4,7,8,13,2.36,-18.8,36.1,b
5,31,12,5,3,2,2,4,7,8,13,0.234,-21.3,35.9,b
4,29,14,5,3,2,2,4,7,8,13,0.0195,-24.8,35,b
4,26,13,6,1,2,2,4,7,8,13,1.27,-23.7,36.6,b
4,21,14,8,2,2,2,4,7,8,13,-0.508,-21.7,43.2,b
4,22,19,10,2,2,2,4,7,8,13,-0.859,-18.2,46.2,b
5,23,21,19,2,2,2,5,7,9,12,-0.82,-24.9,44.4,b
4,22,28,20,2,2,2,3,7,10,12,-3.75,-18.4,41.1,b
4,19,29,21,3,5,5,3,7,11,12,-13.7,-13.7,35.7,b
4,23,32,21,2,5,4,3,8,12,12,-18.1,-12.8,33.1,b
7,23,40,29,3,8,5,8,8,12,12,-21.3,-10.5,30.2,b
8,23,46,28,4,7,6,11,8,13,13,-22.8,-8.46,26.2,b
9,30,51,30,4,11,7,11,8,14,13,-23.3,-7.95,23.6,b
9,31,51,28,5,15,9,12,8,14,13,-28,-4.32,19.4,b
14,33,49,21,5,15,10,19,9,15,13,-29,-1.66,14.4,b
15,40,44,25,6,15,10,25,9,15,13,-30.4,1.29,11.5,b
14,45,53,39,6,12,7,30,9,15,14,-32.3,2.64,9.08,b
19,35,55,43,7,14,10,36,10,16,14,-34,5.18,7.19,b
18,35,43,35,7,12,10,35,10,16,15,-35.4,8.01,5.29,b
28,35,38,35,8,20,18,41,11,16,15,-31.3,9.26,15.8,b
30,37,31,46,23,16,33,52,11,16,16,-77.9,16.1,-22.2,b
36,32,29,48,23,16,35,58,11,16,15,24.5,-9.2,14.8,b
30,34,28,47,23,15,35,52,11,16,15,-66.4,-3.87,2.44,b
33,29,37,42,24,18,38,52,11,16,15,-40.1,12.3,5.02,b
35,32,26,37,25,18,41,52,11,16,15,-30.2,7.32,12.6,b
31,32,25,34,26,18,40,50,11,16,15,-48.3,9.14,9.51,b
29,34,29,45,28,20,44,50,11,16,15,-44.2,13.9,-0.82,b
18,35,28,46,27,15,39,41,11,16,15,-55.1,12.3,-5.76,b
22,28,26,32,14,16,24,35,11,16,15,-10.8,1.35,15.1,b
20,33,32,30,14,13,23,37,11,16,15,-56.9,10.6,-5.35,b
21,30,35,32,14,17,27,45,11,16,15,-27.6,-0.918,7.56,b
18,39,26,32,19,14,24,40,11,16,15,-57.2,12.1,3.26,b
15,30,32,26,19,15,20,35,11,16,15,-31.7,6.78,4.92,b
15,36,41,26,21,13,19,38,10,16,15,-46.7,4.73,4.63,b
21,39,40,17,19,20,25,43,10,16,15,-33,-0.332,8.18,b
23,41,42,17,18,19,24,44,10,16,14,-36,8.83,8.89,b
18,42,46,20,17,21,25,44,10,16,14,-41.6,3.03,4.34,b
13,38,42,22,17,21,23,38,10,16,14,-36.5,3.93,6.45,b
14,37,44,20,17,23,18,28,9,16,14,-36.6,5.86,9.04,b
15,28,47,25,9,25,18,32,9,15,13,-35.4,0.625,12.8,b
15,32,40,22,7,26,18,32,9,15,13,-36.4,1.66,16.4,b
15,26,27,22,4,25,18,24,8,15,13,-35.3,-0.977,18.9,b
10,23,23,20,5,15,7,16,8,14,13,-33.9,-2.64,22.1,b
8,21,21,17,5,13,5,16,8,14,13,-31.2,-5.82,21.9,b
6,18,19,13,4,11,3,12,8,14,13,-28.6,-5.33,22.2,b
6,17,16,14,3,11,3,10,8,13,13,-24.5,-8.59,23.5,b
7,18,16,14,4,6,2,10,8,12,13,-20.7,-9.26,28.2,b
5,14,13,7,4,3,2,6,8,11,13,-17.7,-11.1,30.1,b
5,10,19,8,4,2,2,5,8,10,13,-12.1,-14.2,35.3,b
5,13,23,9,3,2,2,5,8,10,13,-7.93,-13.4,38.6,b
5,10,22,10,3,2,2,5,7,9,13,-2.68,-15.5,39.6,b
5,10,25,10,3,2,1,3,7,8,13,3.54,-16.3,42.4,b
4,11,23,10,3,2,1,2,7,8,13,6.21,-17.5,41.9,b
4,12,26,10,4,2,2,3,7,8,13,5.7,-17,39.2,b
4,9,24,14,5,2,1,2,7,7,13,8.07,-16.8,37.2,b
4,10,25,16,5,2,1,2,7,7,13,7.58,-15.2,34.4,b
4,13,19,16,4,2,1,2,7,7,13,23.3,-20,54.1,b
4,13,17,15,4,2,2,2,7,7,13,-3.57,-14.9,39.8,b
4,14,21,14,4,1,1,2,7,7,13,11.6,-13.7,36.5,b
5,14,18,15,4,1,1,2,7,7,13,9.84,-15.6,35.6,b
5,14,18,16,4,1,1,1,7,7,13,9.8,-16.2,35.2,b
4,14,17,12,3,1,1,1,7,7,13,8.98,-16.4,34.8,b
3,17,16,8,3,1,1,1,7,7,13,9.12,-16.9,35.2,b
3,16,13,6,3,1,1,1,7,7,13,8.63,-16,35.5,b
3,12,13,5,2,1,1,1,7,7,13,8.87,-15.9,36,b
2,11,13,4,2,1,1,1,7,7,13,8.71,-15.4,35.7,b
3,10,9,4,2,1,1,1,7,7,13,8.32,-15.5,35.7,b
3,12,10,3,2,1,1,1,7,7,13,8.13,-15.6,35.9,b
3,13,10,3,2,1,1,1,7,7,13,7.83,-15.7,36,b
4,14,10,3,2,1,1,1,7,7,13,7.87,-15.4,36.1,b
3,15,9,3,2,1,1,1,7,7,13,8.01,-15.9,36.2,b
4,15,10,3,2,1,1,1,7,7,13,7.75,-15.1,36,b
4,16,8,3,2,1,1,1,7,7,13,7.85,-15,36,b
5,23,9,3,2,1,2,2,7,7,13,7.75,-15.1,36.1,b
4,23,9,2,2,1,1,2,7,7,13,7.6,-15.3,36,b
3,23,9,3,2,1,1,1,7,7,13,7.5,-15.4,36.2,b
3,25,8,3,2,1,1,2,7,7,13,7.91,-15,35.9,b
2,22,7,3,2,1,1,1,7,7,13,7.48,-15.2,36,b
2,19,8,3,2,1,1,2,7,7,13,7.83,-15,35.9,b
2,19,8,2,2,1,1,1,7,7,13,7.77,-15.1,36.1,b
2,19,8,3,2,1,1,1,7,7,13,7.77,-15.2,36.2,b
1,12,7,3,1,1,1,1,7,7,13,7.68,-15,36,b
1,13,7,3,1,1,1,1,7,7,13,7.89,-14.8,36.1,b
1,12,9,4,1,1,1,1,7,7,13,7.81,-15.1,36.1,b
2,9,8,3,1,0,1,1,7,7,13,7.6,-15.2,36.2,b
2,16,9,4,1,1,1,1,7,7,13,7.64,-15.1,36.1,b
2,15,7,3,1,1,1,1,7,7,13,7.68,-15,35.9,b
1,15,7,3,1,1,1,1,7,7,13,7.75,-15.1,35.9,b
1,17,7,4,1,0,1,1,7,7,13,7.66,-14.7,36.2,b
2,16,6,3,1,0,1,1,7,7,13,7.44,-15.1,36.1,b
2,16,5,3,1,1,1,1,7,7,13,7.66,-15,36,b
0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPACE
