3,3,3,3,3,3,3,3,7,7,2,9.16,-18.3,36.6,w
3,3,3,3,3,3,3,3,7,7,2,9.26,-17.5,36.3,w
3,3,3,3,3,3,3,3,7,7,2,9.26,-17.5,36.3,w
3,3,3,3,3,3,3,3,7,7,2,9.26,-17.5,36.3,w
4,1,4,3,1,5,12,7,7,7,2,9.26,-17.8,37.6,w
4,2,6,3,1,4,10,7,7,7,2,9.26,-17.8,37.6,w
5,2,6,3,1,4,9,7,7,7,2,9.26,-17.8,37.6,w
4,2,6,2,1,4,8,6,7,7,2,9.26,-17.8,37.6,w
3,2,7,3,1,3,7,6,7,7,2,9.26,-17.8,37.6,w
4,3,7,4,1,2,4,5,7,7,2,9.26,-17.8,37.6,w
4,4,8,7,3,3,3,4,7,7,2,9.26,-17.8,37.6,w
4,5,9,7,3,3,1,4,7,7,2,10.7,-21.6,35.3,w
3,6,9,8,4,3,1,3,7,7,2,10.7,-21.6,35.3,w
3,5,8,11,4,3,1,4,7,7,2,3.89,-25,38.1,w
2,5,13,10,4,3,1,4,7,7,2,3.89,-25,38.1,w
4,5,14,12,5,4,2,5,7,8,3,-4.51,-13.2,43.4,w
3,5,15,13,6,4,2,7,7,8,3,-4.51,-13.2,43.4,w
4,3,16,14,6,5,6,8,7,8,3,-4.51,-13.2,43.4,w
3,3,22,13,5,6,10,8,8,8,3,13.9,-15.5,36.2,w
4,2,22,13,6,6,12,11,8,8,3,13.9,-15.5,36.2,w
5,2,21,14,6,7,19,11,8,8,3,13.9,-15.5,36.2,w
5,2,21,12,6,7,22,10,8,8,3,13.9,-15.5,36.2,w
6,3,17,13,6,7,27,10,8,8,3,13.9,-15.5,36.2,w
5,3,20,16,8,7,32,11,8,8,3,13.9,-15.5,36.2,w
8,3,20,15,10,7,33,15,8,7,5,15,-4.1,37.9,w
8,4,23,15,12,6,33,20,8,7,5,15,-4.1,37.9,w
8,4,16,13,19,11,32,26,8,7,5,15,-4.1,37.9,w
8,4,18,12,19,11,39,25,8,7,5,15,-4.1,37.9,w
6,6,23,14,19,13,46,25,8,7,5,15,-4.1,37.9,w
