3,3,3,3,3,3,3,3,6,9,12,-3.98,-25.5,27.1,t
3,3,3,3,3,3,3,3,6,9,12,-3.73,-25.2,27.1,t
3,3,3,3,3,3,3,3,6,9,12,-3.57,-23.6,27.3,t
3,3,3,3,3,3,3,3,6,9,12,-3.93,-24.6,27.3,t
3,9,29,20,2,2,3,2,6,9,12,-4.43,-24.9,27.3,t
3,9,26,17,2,2,2,2,6,9,12,-3.69,-24.8,27.4,t
3,13,24,15,2,1,2,2,6,9,12,-3.42,-25.1,27.4,t
3,12,23,14,2,1,2,2,6,9,12,-3.59,-24.4,27.6,t
1,13,22,10,1,1,1,2,6,9,12,-3.75,-24.5,27.8,t
1,15,14,10,1,1,1,2,6,9,12,-4.04,-25.3,27.8,t
1,15,12,8,1,1,1,1,6,9,12,-3.81,-24.3,27.3,t
1,15,13,5,1,1,1,2,6,9,12,-3.77,-24.7,26.5,t
1,14,16,4,1,1,1,1,6,9,12,-3.4,-25,27,t
1,13,18,5,1,1,1,1,6,9,12,-3.96,-24.5,27.8,t
1,9,18,5,2,2,1,1,6,9,12,-4.08,-24.4,27.9,t
1,8,16,4,2,2,2,1,6,9,12,-4.98,-24.3,27.6,t
2,7,22,10,2,2,3,3,6,9,12,-3.2,-28.3,27.4,t
3,3,23,11,2,2,3,3,6,9,12,-4.24,-28,26,t
3,3,23,13,2,3,3,3,6,9,12,-2.6,-30.6,24.1,t
3,3,22,13,2,3,4,3,6,9,12,-4.98,-35.4,22.4,t
3,3,18,16,4,4,6,3,6,9,12,-7.46,-31.9,23.8,t
4,3,16,15,4,6,7,3,6,10,13,-11.6,-33.7,23.2,t
4,5,18,15,4,5,7,4,6,10,13,-12.6,-32.1,22.5,t
4,6,20,15,4,5,9,4,6,11,13,-16.1,-26.7,21.2,t
3,5,18,11,4,7,9,3,6,11,13,-18.7,-26.2,21.6,t
4,5,18,9,5,7,14,4,6,12,13,-21.5,-24,20.7,t
3,5,21,7,5,9,18,5,6,12,13,-23.1,-21.8,20.5,t
