0, -1, 7, -2, -2, -1, -1, 1, 
0, -3, -3, -1, 0, -3, 3, -1, 
3, 0, -30, -1, -2, -3, -6, 2, 
-5, -1, 17, 9, -2, -4, -11, 0, 
1, -4, -22, 1, 0, -2, -2, -1, 
-4, 0, -10, -4, -2, -2, -1, 2, 
-6, -35, -24, -14, -5, -3, -1, -1, 
-2, 2, -8, 1, -6, -1, -2, 0, 
-3, -7, -46, -91, -8, -3, -7, 0, 
-5, 0, 1, 12, -2, 0, 6, -5, 
-8, -1, 32, -1, -2, 7, 16, -1, 
7, -5, 13, -6, -4, -2, 1, 8, 
-4, -3, -27, -5, -5, -7, -2, 0, 
-3, -3, -8, -3, -4, -2, 4, 0, 
-4, -7, -22, -16, -9, -6, -2, -4, 
0, 0, 0, 8, -7, -2, -2, -1, 
-2, -6, -29, 23, 50, 14, 0, 2, 
-2, -6, 7, -8, 7, 0, 2, 0, 
11, 12, 2, 29, 5, -4, -1, 0, 
-1, -5, 7, 2, -15, -3, -3, -1, 
-19, -7, 2, 16, 8, 1, 2, -2, 
6, 6, -5, -8, 4, 0, 1, 0, 
-4, -5, -5, 20, 5, 1, 0, 0, 
5, 39, 4, 6, 7, 1, 1, 1, 
0, -6, 1, 8, -9, -2, -4, 0, 
5, -6, -12, -3, 2, -4, -1, -1, 
-1, -24, 5, -8, 7, -5, -6, -4, 
-4, 12, -3, -13, -1, 1, 1, 1, 
2, 5, 6, 12, 7, 0, -1, 0, 
8, 22, 5, -10, -7, -2, 0, 0, 
16, 9, -5, -6, 6, 0, 3, 4, 
-2, -21, 1, 9, 6, 6, 3, -1, 
5, -16, 1, 2, -2, 2, 3, 3, 
-2, -8, -8, 25, -5, -5, 3, 0, 
-7, -19, -2, 4, -4, -4, 0, 0, 
0, 12, -3, -16, 3, 0, -1, 2, 
-11, 2, -6, -6, 9, 0, 1, 2, 
3, -3, -5, 6, -13, -7, -3, -1, 
1, -2, -3, 6, 0, -3, -1, -2, 
4, 0, 3, 7, -7, 1, 3, 0, 
-3, 4, 2, -37, -14, -3, -1, -2, 
2, 0, -3, 1, -3, -3, -2, -2, 
-7, -7, 8, 1, -3, -1, 1, -1, 
3, -4, 1, -4, -4, 0, -2, -1, 
5, 3, -5, 16, 13, 5, 3, 1, 
-3, -7, -10, 29, 1, -7, 2, -2, 
3, -1, 3, 0, -5, -2, -2, -1, 
-1, 1, -4, -2, 1, 0, 3, -2, 
-2, -2, 0, 6, 0, -2, -1, -3, 
0, -2, -3, 5, 8, 3, -2, -1, 
-1, 31, 9, 13, 6, 4, 3, 2, 
-2, -5, -16, 3, -2, -2, -4, -2, 
1, -24, -6, -2, -1, 0, 0, -1, 
3, 16, -3, 2, -2, 0, -2, 1, 
0, 10, -5, -33, -1, -1, -1, 1, 
0, 9, 8, -7, -1, 1, 0, -1, 
2, -28, -1, 4, 10, 1, 0, 1, 
-9, 36, 12, 2, 3, 0, 1, 1, 
5, 48, -8, -15, 11, 1, 1, 0, 
0, 13, -13, -8, 1, -2, -4, -2, 
-3, 3, -4, -23, -6, -3, -3, -2, 
-3, -5, -3, 3, -1, -1, -1, -3, 
-2, 1, -6, -2, 3, 8, 2, 1, 
-4, -28, 6, 7, 0, -1, 1, -1, 
-7, -1, -4, -8, -11, -6, -4, -3, 
-6, -30, -12, -10, -3, -4, -2, -2, 
-5, -3, 15, 7, 0, -4, -4, -4, 
-1, -6, -7, 14, -13, 5, -1, -2, 
-4, -2, -2, 5, -4, 1, 0, -1, 
2, -3, 10, 0, -6, -2, 1, 4, 
-3, -6, 20, -9, -20, -4, -3, -8, 
2, -6, -14, 0, -8, -6, -7, 3, 
17, -6, -75, -20, -2, -1, 1, -1, 
-5, 13, 37, 15, 0, 0, 5, 6, 
0, -1, -91, -33, -14, -11, -7, 6, 
-3, 24, -1, 14, 2, 2, 8, 0, 
-6, -17, -1, 4, 3, 2, 1, 17, 
-5, -50, 4, 20, 2, -4, -2, -6, 
2, 2, 53, 10, 3, 2, 8, 2, 
10, 5, 15, 5, 3, 17, 46, 8, 
-6, 2, 14, 2, 2, 0, 3, 0, 
-11, -17, -56, -3, 0, -4, -7, -2, 
0, -38, -26, -12, -7, -11, -4, -8, 
-6, -21, 4, -1, 0, -3, -8, -11, 
2, 30, -18, -2, 0, -2, -5, 2, 
-2, 44, -27, -13, -6, -2, 0, -6, 
8, 19, 43, 9, 0, -1, -1, -1, 
-3, -24, -40, -2, 1, 0, 1, 0, 
-1, -16, 31, -6, -2, -4, -1, -1, 
9, -40, -41, -27, -7, 6, 12, -2, 
4, 9, 3, -1, 0, 1, 3, 1, 
-7, -43, 4, 7, 0, -2, 5, -7, 
9, -4, -41, -8, -4, -4, -5, 0, 
-5, -53, -94, -23, -6, -9, -19, -5, 
6, 18, 6, 2, -1, -3, -6, 1, 
10, 5, 24, 3, 1, 3, 3, 1, 
-2, 1, -53, 0, 0, -1, -5, -2, 
1, 103, 43, 5, 2, 4, 8, 8, 
-10, -15, -12, -3, -6, -5, -3, -2, 
14, -22, 5, -3, -1, -5, -11, 4, 
-7, 7, -24, 13, 2, 3, 8, 2, 
-3, 5, 22, 18, 2, 5, 15, 1, 
-9, -28, -10, 14, -2, -3, -3, -4, 
1, 0, -24, -10, 0, -1, 2, -1, 
-22, 16, 20, -3, -1, -1, -4, -5, 
-6, -11, 19, 9, -1, -1, 3, 2, 
-1, -56, 27, 0, -1, 0, -2, -5, 
2, -2, -27, -14, 2, 1, -3, -3, 
7, -5, -2, 0, -1, 0, 0, 3, 
10, 0, -9, -4, -3, -1, -5, 5, 
2, -34, -40, -15, -4, -3, -6, -4, 
-5, -1, 26, 2, -2, -1, 0, 0, 
3, -4, 8, 3, 0, -2, 0, -3, 
3, 18, -19, -20, -5, -1, -2, -1, 
-1, -50, 16, -1, -3, -3, -12, -2, 
1, 4, 6, 17, 2, 2, 5, 0, 
-7, -50, 17, -6, -4, -2, 0, -3, 
-4, -1, 0, 0, -1, 0, 7, -2, 
-2, 3, 1, 12, 0, -3, 2, 0, 
-9, 2, -4, 2, 0, 1, 6, -2, 
7, 8, 25, -3, -2, -1, 7, 0, 
3, -31, -16, -1, -2, -3, -7, -3, 
5, -12, 3, -4, -2, -1, -2, 0, 
4, 2, -3, -2, -1, -11, -12, 1, 
-6, 18, 86, 21, 1, 4, 7, 4, 
-2, -6, 15, 3, -3, 0, 3, -1, 
-3, 42, 41, 16, 4, -5, -5, 2, 
1, -16, -43, -14, -4, -6, -20, 0, 
16, 35, 10, 4, 1, -2, -15, 1, 
3, 3, 51, 10, -2, -5, -2, 0, 
-1, 26, 51, 0, 4, -3, 5, 0, 
-5, -16, -8, 10, 0, 0, 15, -5, 
0, -6, -7, -8, -3, 1, 5, -6, 
-3, 0, 12, -4, -2, 0, -1, -1, 
0, 0, 15, -16, 0, 5, 12, 0, 
-3, -4, -20, -13, -3, -2, 5, -2, 
0, -2, 17, 0, -3, -1, -5, -1, 
1, -3, 3, 5, 2, -1, -1, -1, 
-1, -13, 11, -2, -2, -5, -7, -2, 
1, 7, 10, 5, -1, 1, 28, -2, 
-1, -5, -99, -13, 1, -1, -8, -2, 
3, 31, 3, 1, -3, -5, -18, 0, 
-3, 66, 5, -4, 0, 2, 4, 2, 
-1, -19, 7, -1, 1, 3, -6, -1, 
6, -8, 14, 5, 2, 11, 43, 2, 
5, -7, 26, 5, -2, -5, 13, -1, 
-5, -2, -35, -13, -4, 5, 10, -5, 
4, 17, 27, 7, 1, -3, 8, 2, 
-1, 3, -7, 5, 0, 0, 4, 4, 
1, -7, -26, -2, -2, 0, -5, -2, 
-2, 11, 10, 2, -2, 0, 1, -1, 
0, 1, -19, -18, -1, -2, -5, -1, 
1, -8, -7, 15, 9, -2, -3, 0, 
3, 2, -2, 5, -5, -3, -1, 0, 
-1, -6, 4, -4, -1, -1, -2, 0, 
