-1, 5, 10, -3, -2, -3, -1, -1, 10, 2, 15, [L], r, -1, 5, 10, -3, -2, -3, -1, -1, 10, 2, 15, [L], r, 
1, 1, 1, 0, -2, 0, 0, 0, 10, 2, 15, [L], r, 1, 1, 1, 0, -2, 0, 0, 0, 10, 2, 15, [L], r, 
-6, -13, 2, -1, -2, 0, 0, -2, 10, 2, 15, [L], r, -6, -13, 2, -1, -2, 0, 0, -2, 10, 2, 15, [L], r, 
4, 3, -10, 0, 0, -1, -2, -2, 10, 2, 15, [L], r, 4, 3, -10, 0, 0, -1, -2, -2, 10, 2, 15, [L], r, 
-5, 4, 3, 0, -2, 0, 0, -1, 10, 9, 3, [L], r, -5, 4, 3, 0, -2, 0, 0, -1, 10, 9, 3, [L], r, 
-16, 0, -2, -2, -1, -3, 15, 2, 10, 2, 15, [L], r, -16, 0, -2, -2, -1, -3, 15, 2, 10, 2, 15, [L], r, 
4, -5, 1, 1, 0, 0, -1, 1, 10, 9, 3, [L], r, 4, -5, 1, 1, 0, 0, -1, 1, 10, 9, 3, [L], r, 
8, 3, 2, 0, 1, 0, 0, -2, 10, 9, 3, [L], r, 8, 3, 2, 0, 1, 0, 0, -2, 10, 9, 3, [L], r, 
19, 45, -6, 23, 1, 0, 6, -4, 10, 2, 15, [L], r, 19, 45, -6, 23, 1, 0, 6, -4, 10, 2, 15, [L], r, 
-15, -16, 1, -14, -4, -5, -9, -22, 10, 3, 15, [L], r, -15, -16, 1, -14, -4, -5, -9, -22, 10, 3, 15, [L], r, 
4, 19, -8, 6, 1, 5, 1, 49, 10, 3, 15, [L], r, 4, 19, -8, 6, 1, 5, 1, 49, 10, 3, 15, [L], r, 
9, -8, 30, 18, 4, -4, 0, 22, 10, 4, 14, [L], r, 9, -8, 30, 18, 4, -4, 0, 22, 10, 4, 14, [L], r, 
5, -10, -16, -8, -1, 22, 9, 48, 10, 5, 14, [L], r, 5, -10, -16, -8, -1, 22, 9, 48, 10, 5, 14, [L], r, 
-3, -19, -33, -3, -6, 15, -4, -36, 9, 8, 3, [L], r, -3, -19, -33, -3, -6, 15, -4, -36, 9, 8, 3, [L], r, 
-3, -8, 5, -3, -5, -9, 6, -1, 9, 8, 3, [L], r, -3, -8, 5, -3, -5, -9, 6, -1, 9, 8, 3, [L], r, 
6, 29, 55, 3, 1, 54, 13, 38, 11, 7, 14, [L], r, 6, 29, 55, 3, 1, 54, 13, 38, 11, 7, 14, [L], r, 
17, 34, 54, 13, 8, 63, 18, 0, 9, 8, 3, [L], r, 17, 34, 54, 13, 8, 63, 18, 0, 9, 8, 3, [L], r, 
-7, 37, -65, -22, -4, 24, -6, -11, 9, 8, 3, [L], r, -7, 37, -65, -22, -4, 24, -6, -11, 9, 8, 3, [L], r, 
-34, -128, 102, 95, 6, -15, 5, -7, 10, 8, 3, [L], r, -34, -128, 102, 95, 6, -15, 5, -7, 10, 8, 3, [L], r, 
-10, -17, 28, -15, -1, -18, -7, -6, 11, 8, 15, [L], r, -10, -17, 28, -15, -1, -18, -7, -6, 11, 8, 15, [L], r, 
-6, 6, 29, -6, -7, -14, -7, -8, 11, 9, 15, [L], r, -6, 6, 29, -6, -7, -14, -7, -8, 11, 9, 15, [L], r, 
-5, -19, -2, -1, -7, -8, -4, -5, 11, 9, 16, [L], r, -5, -19, -2, -1, -7, -8, -4, -5, 11, 9, 16, [L], r, 
-4, -1, -6, -13, -1, -2, -4, -2, 12, 9, 16, [L], r, -4, -1, -6, -13, -1, -2, -4, -2, 12, 9, 16, [L], r, 
0, 5, 30, 2, 2, 1, 0, -5, 12, 9, 16, [L], r, 0, 5, 30, 2, 2, 1, 0, -5, 12, 9, 16, [L], r, 
2, 5, -3, -1, 0, -1, -3, -2, 10, 8, 3, [L], r, 2, 5, -3, -1, 0, -1, -3, -2, 10, 8, 3, [L], r, 
-3, 3, 0, -6, -4, 1, -2, 2, 10, 8, 4, [L], r, -3, 3, 0, -6, -4, 1, -2, 2, 10, 8, 4, [L], r, 
-2, 67, 4, 2, 38, 0, 7, 2, 10, 8, 4, [L], r, -2, 67, 4, 2, 38, 0, 7, 2, 10, 8, 4, [L], r, 
11, -9, -12, -5, 5, -2, -4, 2, 10, 8, 3, [L], r, 11, -9, -12, -5, 5, -2, -4, 2, 10, 8, 3, [L], r, 
-2, 6, 2, -5, -9, -1, -3, -1, 10, 8, 3, [L], r, -2, 6, 2, -5, -9, -1, -3, -1, 10, 8, 3, [L], r, 
-23, 11, 1, 2, -1, 5, 2, -8, 10, 8, 3, [L], r, -23, 11, 1, 2, -1, 5, 2, -8, 10, 8, 3, [L], r, 
7, 23, -1, -6, -43, -7, 2, 2, 10, 8, 3, [L], r, 7, 23, -1, -6, -43, -7, 2, 2, 10, 8, 3, [L], r, 
22, -38, 2, -5, -10, -6, -4, 2, 10, 8, 3, [L], r, 22, -38, 2, -5, -10, -6, -4, 2, 10, 8, 3, [L], r, 
12, 2, -2, 0, 7, -9, 8, 3, 10, 8, 3, [L], r, 12, 2, -2, 0, 7, -9, 8, 3, 10, 8, 3, [L], r, 
3, 11, 4, 3, 4, 12, 6, 4, 10, 8, 3, [L], r, 3, 11, 4, 3, 4, 12, 6, 4, 10, 8, 3, [L], r, 
-9, -49, -3, 0, 1, 0, 1, -5, 10, 8, 3, [L], r, -9, -49, -3, 0, 1, 0, 1, -5, 10, 8, 3, [L], r, 
-8, -62, 0, 2, -2, 0, 8, -1, 11, 8, 16, [L], r, -8, -62, 0, 2, -2, 0, 8, -1, 11, 8, 16, [L], r, 
31, 16, 4, 2, -3, -2, -1, 1, 11, 8, 16, [L], r, 31, 16, 4, 2, -3, -2, -1, 1, 11, 8, 16, [L], r, 
5, -40, -5, -1, -2, -1, -5, -4, 11, 8, 16, [L], r, 5, -40, -5, -1, -2, -1, -5, -4, 11, 8, 16, [L], r, 
-13, -24, -6, -5, -5, -5, -9, -4, 11, 8, 16, [L], r, -13, -24, -6, -5, -5, -5, -9, -4, 11, 8, 16, [L], r, 
23, 8, -1, 0, 1, 0, 3, -5, 11, 8, 16, [L], r, 23, 8, -1, 0, 1, 0, 3, -5, 11, 8, 16, [L], r, 
11, -30, -1, 1, -1, -3, -2, 0, 10, 8, 3, [L], r, 11, -30, -1, 1, -1, -3, -2, 0, 10, 8, 3, [L], r, 
14, 35, 6, -2, -1, -1, 2, 0, 10, 8, 3, [L], r, 14, 35, 6, -2, -1, -1, 2, 0, 10, 8, 3, [L], r, 
-6, -21, 2, -2, -8, -19, -1, -2, 10, 8, 3, [L], r, -6, -21, 2, -2, -8, -19, -1, -2, 10, 8, 3, [L], r, 
-7, 3, 0, -1, -11, -8, -18, 1, 10, 8, 3, [L], r, -7, 3, 0, -1, -11, -8, -18, 1, 10, 8, 3, [L], r, 
-20, -66, -8, -5, -1, 0, -25, -12, 10, 8, 3, [L], r, -20, -66, -8, -5, -1, 0, -25, -12, 10, 8, 3, [L], r, 
-2, 26, 5, 1, 6, 4, 0, -1, 10, 8, 3, [L], r, -2, 26, 5, 1, 6, 4, 0, -1, 10, 8, 3, [L], r, 
2, -1, -1, 0, 5, 6, -2, -1, 10, 8, 3, [L], r, 2, -1, -1, 0, 5, 6, -2, -1, 10, 8, 3, [L], r, 
-7, -65, -5, -2, 7, 3, 4, -3, 10, 8, 3, [L], r, -7, -65, -5, -2, 7, 3, 4, -3, 10, 8, 3, [L], r, 
19, 47, 7, -1, -6, -2, 1, 5, 11, 8, 16, [L], r, 19, 47, 7, -1, -6, -2, 1, 5, 11, 8, 16, [L], r, 
8, -5, -2, -1, 0, -1, -2, -2, 10, 8, 3, [L], r, 8, -5, -2, -1, 0, -1, -2, -2, 10, 8, 3, [L], r, 
-25, -33, -4, 1, -3, 1, -1, 1, 11, 8, 16, [L], r, -25, -33, -4, 1, -3, 1, -1, 1, 11, 8, 16, [L], r, 
-6, 30, 3, 0, 0, -1, 1, 0, 10, 8, 3, [L], r, -6, 30, 3, 0, 0, -1, 1, 0, 10, 8, 3, [L], r, 
1, -85, -10, -3, -3, -2, 1, 0, 10, 8, 3, [L], r, 1, -85, -10, -3, -3, -2, 1, 0, 10, 8, 3, [L], r, 
12, 27, -1, 0, 0, 0, -2, -1, 11, 8, 16, [L], r, 12, 27, -1, 0, 0, 0, -2, -1, 11, 8, 16, [L], r, 
-14, 3, -35, -5, -5, -7, -6, -3, 11, 8, 16, [L], r, -14, 3, -35, -5, -5, -7, -6, -3, 11, 8, 16, [L], r, 
8, -6, -7, -5, -1, -1, -1, 3, 10, 8, 3, [L], r, 8, -6, -7, -5, -1, -1, -1, 3, 10, 8, 3, [L], r, 
-1, 60, 0, -4, -3, -2, -3, -8, 10, 8, 3, [L], r, -1, 60, 0, -4, -3, -2, -3, -8, 10, 8, 3, [L], r, 
