-7, -12, -9, -19, -5, -4, 0, 14, 6, 8, 1, hello 
-11, 10, 26, -1, 4, 3, -1, -3, 6, 8, 1, hello 
-2, -7, -9, -14, -5, 0, 0, 0, 6, 8, 1, hello 
-6, -10, 8, 8, -5, -3, -4, -2, 6, 8, 1, hello 
-3, -17, 5, -2, -5, -3, -2, -3, 6, 8, 1, hello 
0, 23, -24, -36, 0, -2, -1, 0, 6, 8, 1, hello 
-3, 5, 6, 19, 1, 0, 0, -2, 6, 8, 1, hello 
1, -6, 19, 10, -6, -2, -3, -5, 6, 8, 1, hello 
2, 16, -12, -2, -1, -1, 0, 0, 6, 8, 1, hello 
-2, 1, 18, 1, -2, 1, 0, -2, 6, 8, 1, hello 
-6, 5, 3, -7, -7, 1, 0, 0, 6, 8, 1, hello 
4, 5, 14, 8, -2, -1, -2, -1, 6, 8, 1, hello 
2, -27, -30, -11, 4, -3, -1, 0, 6, 8, 1, hello 
-5, -4, -1, -14, -1, -1, -1, 0, 6, 8, 1, hello 
-1, -8, -9, 24, 7, 0, -1, -1, 6, 8, 1, hello 
5, 5, 14, -3, -2, -2, 0, -1, 6, 8, 1, hello 
-4, -3, 1, 10, 5, 3, 0, 0, 6, 8, 1, hello 
-2, -4, -5, 4, 12, 1, -2, 0, 6, 8, 1, hello 
0, 0, -7, -10, -6, -3, 1, -1, 6, 8, 1, hello 
2, 1, 16, -15, -8, 4, 0, -1, 6, 8, 1, hello 
-2, -3, 2, -2, 1, 1, -2, -1, 6, 8, 1, hello 
1, 0, -7, -2, 0, 0, -2, -2, 6, 8, 1, hello 
3, 0, 0, -6, 3, -2, -1, -2, 7, 10, 2, hello 
-3, 0, -7, 17, 6, 1, 0, -1, 7, 11, 2, hello 
-1, -9, -9, 2, 0, 1, 2, 1, 7, 11, 2, hello 
-3, -2, -2, 4, -9, -4, -2, -2, 7, 12, 2, hello 
-3, -6, 1, -6, 1, -1, -1, 0, 7, 12, 2, hello 
-3, -4, 35, -11, -8, -4, -3, -3, 7, 13, 2, hello 
6, 33, -3, 0, 1, -1, -2, -2, 8, 13, 2, hello 
-8, -27, 21, -9, 1, 1, -2, -3, 8, 13, 3, hello 
-2, 18, 25, 7, 0, 0, 1, 1, 8, 14, 3, hello 
3, -3, -14, -13, 3, 6, 6, 2, 8, 14, 3, hello 
-2, 0, 10, -16, -4, -2, -2, -2, 9, 14, 4, hello 
-5, -18, 9, 2, -3, 0, -3, -1, 9, 14, 4, hello 
-1, -11, 0, 0, 2, -1, -1, -1, 9, 14, 4, hello 
3, 4, 13, 3, 3, -2, -1, -2, 9, 14, 4, hello 
-2, 8, -15, -16, -7, 0, 4, 2, 10, 14, 5, hello 
5, 32, 37, -1, 3, 1, 2, 3, 10, 14, 5, hello 
6, 45, 1, -5, -6, 0, -1, 1, 10, 14, 5, hello 
7, -6, 1, -5, -4, -1, -2, -2, 10, 14, 5, hello 
7, 78, 13, 3, -1, 1, 4, 6, 10, 14, 5, hello 
