3,3,3,3,3,3,3,3,7,8,16,21.7,-20.5,48.2,b
3,3,3,3,3,3,3,3,7,8,16,1.19,-17.3,21.8,b
3,3,3,3,3,3,3,3,7,8,16,1.11,-18.7,22.4,b
3,3,3,3,3,3,3,3,7,8,16,17.3,-16.7,60.9,b
7,19,38,8,1,4,8,3,7,8,16,3.2,-22,53.7,b
7,22,33,10,1,3,7,3,7,8,16,-14,-25.8,32.7,b
7,21,29,9,2,3,6,3,7,8,16,0.215,-20.8,36.4,b
7,18,29,11,2,3,5,3,7,8,16,2.6,-22,35.5,b
7,15,21,10,2,2,4,3,7,8,16,14.3,-21.8,39,b
7,16,19,10,2,3,4,5,7,8,16,-8.18,-27.4,30.8,b
6,17,15,10,2,2,3,6,7,8,16,-1.6,-20.1,18.6,b
6,14,15,12,3,2,3,6,7,8,16,-4.45,-26,39.7,b
7,16,15,11,2,2,2,6,7,8,16,25.3,-19.5,45.5,b
7,12,17,10,2,3,3,5,7,8,16,11.8,-23.6,47.3,b
7,12,17,10,1,3,4,5,7,8,16,19.9,-16.5,31.5,b
7,13,15,8,1,3,4,5,7,8,16,-16.1,-20.8,20.5,b
6,15,13,8,1,3,4,4,7,8,16,20.4,-15.6,38.3,b
5,13,15,9,1,3,4,3,7,8,16,24.9,-14.5,52.6,b
4,12,17,10,2,3,5,1,7,8,16,-5.37,-23.9,10.1,b
4,11,17,9,2,3,4,1,7,8,16,18.6,-22,40.4,b
3,8,17,12,4,3,4,1,7,8,16,2.68,-22.2,41.7,b
3,9,19,11,4,3,2,1,7,8,16,2.6,-24.1,44.5,b
3,11,25,12,4,4,2,1,7,9,16,-6.66,-25.7,59,b
4,12,23,12,4,4,2,1,7,9,16,2.27,-25.5,57,b
4,12,27,17,5,4,2,2,7,10,16,11.3,-15.4,39.3,b
5,13,26,22,5,4,2,2,7,10,16,-17.2,-18,24.4,b
8,19,31,27,4,4,3,4,7,11,16,-35.1,-18.6,25.9,b
8,25,32,27,4,8,6,5,7,12,16,-24.3,-19.3,39.5,b
10,26,41,29,4,8,7,7,8,13,16,-6.11,-12.6,41,b
11,26,41,29,5,10,10,14,8,13,16,-8.03,-4.63,26.1,b
12,32,41,29,5,10,10,14,8,14,17,-12.3,1.13,28.8,b
14,34,40,31,6,9,11,17,9,15,17,-14.1,4.8,24.1,b
13,35,36,25,5,10,11,20,9,15,17,-10.1,6.43,38.8,b
16,35,36,23,13,17,21,29,10,15,0,-34.8,11.3,23.2,b
15,33,30,17,18,21,28,32,10,16,0,-67.2,-3.14,-5.72,b
