37, -8, -2, -3, 2, 1, 19, 9, 10, 7, 16, [L], r, 37, -8, -2, -3, 2, 1, 19, 9, 10, 7, 16, [L], r, 
-3, 1, -1, 2, 5, 0, -2, -1, 11, 7, 1, [L], r, -3, 1, -1, 2, 5, 0, -2, -1, 11, 7, 1, [L], r, 
-3, -2, -3, 2, 3, 0, -3, -2, 11, 7, 1, [L], r, -3, -2, -3, 2, 3, 0, -3, -2, 11, 7, 1, [L], r, 
-1, -14, -6, -1, 12, 1, -3, -6, 10, 7, 16, [L], r, -1, -14, -6, -1, 12, 1, -3, -6, 10, 7, 16, [L], r, 
5, 7, 7, 0, 0, 1, -13, 7, 10, 7, 16, [L], r, 5, 7, 7, 0, 0, 1, -13, 7, 10, 7, 16, [L], r, 
-1, 0, -1, 4, -9, -2, -2, -1, 11, 7, 1, [L], r, -1, 0, -1, 4, -9, -2, -2, -1, 11, 7, 1, [L], r, 
14, -43, -5, 0, 11, 5, 18, 5, 10, 7, 16, [L], r, 14, -43, -5, 0, 11, 5, 18, 5, 10, 7, 16, [L], r, 
7, -63, -4, -1, -3, -1, -21, -5, 11, 7, 1, [L], r, 7, -63, -4, -1, -3, -1, -21, -5, 11, 7, 1, [L], r, 
-13, -65, -7, 0, -6, 8, 2, 14, 11, 7, 1, [L], r, -13, -65, -7, 0, -6, 8, 2, 14, 11, 7, 1, [L], r, 
-2, -2, -3, -52, -17, 1, 0, -1, 11, 7, 1, [L], r, -2, -2, -3, -52, -17, 1, 0, -1, 11, 7, 1, [L], r, 
-21, 45, 22, -5, -3, -2, 2, -7, 11, 7, 1, [L], r, -21, 45, 22, -5, -3, -2, 2, -7, 11, 7, 1, [L], r, 
8, -22, -9, -4, -2, 0, -2, -2, 11, 7, 1, [L], r, 8, -22, -9, -4, -2, 0, -2, -2, 11, 7, 1, [L], r, 
-11, 11, 8, -4, 3, -1, 1, -1, 11, 7, 1, [L], r, -11, 11, 8, -4, 3, -1, 1, -1, 11, 7, 1, [L], r, 
-17, -5, 3, -1, -2, -4, 4, 4, 11, 7, 1, [L], r, -17, -5, 3, -1, -2, -4, 4, 4, 11, 7, 1, [L], r, 
-16, -45, 2, -2, 1, -3, -1, 2, 11, 7, 1, [L], r, -16, -45, 2, -2, 1, -3, -1, 2, 11, 7, 1, [L], r, 
1, 1, 7, 13, 29, 4, 1, -2, 11, 7, 16, [L], r, 1, 1, 7, 13, 29, 4, 1, -2, 11, 7, 16, [L], r, 
-1, -2, -4, 12, 3, 2, -1, -1, 11, 7, 1, [L], r, -1, -2, -4, 12, 3, 2, -1, -1, 11, 7, 1, [L], r, 
2, -2, 12, 12, 1, 2, 1, 1, 10, 8, 1, [L], r, 2, -2, 12, 12, 1, 2, 1, 1, 10, 8, 1, [L], r, 
-1, -1, 8, 21, 2, 6, 0, 0, 10, 8, 1, [L], r, -1, -1, 8, 21, 2, 6, 0, 0, 10, 8, 1, [L], r, 
6, 3, -62, -13, -2, -1, 4, 25, 10, 8, 1, [L], r, 6, 3, -62, -13, -2, -1, 4, 25, 10, 8, 1, [L], r, 
