5, -20, -9, -9, -4, -5, -17, -18, 6, 8, 1, hello 
4, 14, 8, -23, -2, -6, 0, 2, 6, 8, 1, hello 
2, -10, 6, -27, -7, -2, -6, -8, 6, 8, 1, hello 
1, -10, -7, -26, -5, 1, -1, -2, 6, 8, 1, hello 
-1, -9, 3, 4, 3, -2, 0, 0, 6, 8, 1, hello 
0, -3, 2, -13, 0, 2, 1, -1, 6, 8, 1, hello 
-2, -3, 6, 11, 2, 2, -1, -1, 6, 8, 1, hello 
-1, -6, -2, 26, 3, -2, -1, 0, 6, 8, 1, hello 
-8, -3, -6, 4, -1, 2, 2, -2, 6, 9, 1, hello 
0, -4, -4, -22, -9, -2, -3, 1, 7, 9, 1, hello 
6, 4, 0, -11, -4, -2, -1, 0, 7, 10, 1, hello 
-3, -3, 1, 25, 12, 4, 1, -1, 7, 10, 1, hello 
-1, 1, 11, -7, -4, -2, -2, -1, 7, 11, 1, hello 
-2, -1, 6, 13, 5, 0, -2, -1, 7, 11, 1, hello 
-1, -3, 3, -4, -2, 3, 0, 0, 7, 12, 2, hello 
0, -4, -3, -5, -20, -5, -2, -1, 8, 12, 2, hello 
-2, 1, -5, -37, -18, -1, 2, 0, 8, 13, 2, hello 
5, 46, 33, 21, 1, 0, 1, 8, 8, 13, 3, hello 
3, -7, 17, 15, 5, -2, 2, 3, 9, 13, 3, hello 
1, -19, 6, -3, 4, 1, 8, 4, 9, 13, 3, hello 
7, 30, 8, 19, 3, 0, 2, 1, 9, 14, 4, hello 
-2, -16, -1, 13, 7, 1, -2, -2, 9, 13, 4, hello 
1, 10, 26, 6, -7, 2, 5, -1, 10, 13, 4, hello 
5, 0, -26, 13, 2, -4, -3, -1, 10, 13, 4, hello 
1, 3, 0, 4, -12, -5, -5, -2, 10, 13, 4, hello 
-2, 1, -20, -3, -5, -3, -2, -4, 10, 13, 4, hello 
3, 38, 15, -3, 10, 1, 1, 4, 10, 13, 4, hello 
-1, -24, 2, 10, 15, 2, -2, -1, 10, 13, 4, hello 
7, -26, -11, -6, 7, 1, -1, -2, 10, 13, 4, hello 
2, 1, 22, -4, -5, -1, 0, 2, 10, 13, 4, hello 
-4, -24, -1, -9, -1, -2, -4, -2, 10, 14, 4, hello 
-2, -8, -23, -5, -4, -1, -3, -4, 10, 14, 3, hello 
4, 75, 39, 11, 4, 3, 4, 6, 9, 14, 3, hello 
0, 11, -69, -16, -6, -1, 1, 2, 9, 14, 3, hello 
-8, -23, -14, 1, 6, 0, -2, -4, 9, 14, 2, hello 
-2, -58, -47, -8, 1, 1, -3, -3, 9, 14, 2, hello 
0, 4, -9, 3, -2, -4, -1, 0, 9, 14, 1, hello 
