1, 26, -27, -12, -4, 0, 0, -2, 7, 8, 11, testing, 0.0751953, -0.597168, 0.828613 
-3, 0, -21, -73, -1, 0, -3, -2, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
0, -8, -2, 20, -4, -3, 0, -3, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
5, 15, 3, -16, 0, -1, -2, -1, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
22, 24, 28, -14, 1, -2, 3, 5, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
9, 4, -9, -2, 2, 3, 20, -14, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
0, 5, 7, 13, 20, -23, -18, 17, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
1, -1, 5, 1, -15, 4, 8, 6, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-5, 14, 6, -3, 16, 4, -1, -11, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-27, -35, -29, -39, 9, -1, -1, -1, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
37, 19, -3, 28, 22, -1, -8, 3, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-16, -19, -12, -28, -6, 1, -1, -3, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-4, 17, 15, 15, -16, -1, -3, -2, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
7, -15, 23, 28, 34, 6, -2, 0, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
20, 24, 20, 10, -7, -2, 0, 4, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-3, 11, -32, 32, 6, -2, 0, 3, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
9, 35, 34, -63, -2, 4, 3, 5, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-3, -4, 4, 25, -1, -5, -2, -3, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
0, -1, 2, -1, 19, -2, -3, -2, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-6, -10, -15, -9, -4, 0, -5, -4, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
1, 1, 35, 9, 2, 5, 14, 2, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-1, -32, -92, -56, 0, 11, 16, 7, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
0, 8, -7, 33, -8, -5, -3, 4, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-7, -11, -19, -73, -43, -26, -14, -10, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-4, -21, -52, -32, -18, 4, -10, -10, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
1, 14, 103, -42, -14, -27, 13, 11, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-3, -15, -24, 33, -21, 9, 9, -9, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
3, -39, -68, -5, 11, -2, -1, -4, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-9, -15, 1, 8, -8, -5, -1, -2, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
12, 18, -38, -22, 23, 5, 4, 4, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
8, 2, -8, -27, -7, -6, -3, -1, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-15, -27, -30, -28, -20, -8, -5, -5, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
11, 11, 4, -14, -6, -7, -20, 9, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-14, 10, -78, -9, 19, 21, 25, 6, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
-1, -2, 38, 4, 1, -1, 12, -6, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
1, 6, 1, 5, 4, -1, 1, -5, 7, 8, 11, testing, 0.0991211, -0.554199, 0.919434 
